,level,name,typeOfLevel
246,10,10 metre U wind component,heightAboveGround
245,2,2 metre relative humidity,heightAboveGround
241,2,2 metre temperature,heightAboveGround
147,500,5-wave geopotential height,isobaricInhPa
249,500,5-wave geopotential height anomaly,isobaricInhPa
119,10,Absolute vorticity,isobaricInhPa
118,20,Absolute vorticity,isobaricInhPa
117,30,Absolute vorticity,isobaricInhPa
116,50,Absolute vorticity,isobaricInhPa
115,70,Absolute vorticity,isobaricInhPa
114,100,Absolute vorticity,isobaricInhPa
113,150,Absolute vorticity,isobaricInhPa
112,200,Absolute vorticity,isobaricInhPa
111,250,Absolute vorticity,isobaricInhPa
110,300,Absolute vorticity,isobaricInhPa
109,350,Absolute vorticity,isobaricInhPa
108,400,Absolute vorticity,isobaricInhPa
107,450,Absolute vorticity,isobaricInhPa
106,500,Absolute vorticity,isobaricInhPa
105,550,Absolute vorticity,isobaricInhPa
104,600,Absolute vorticity,isobaricInhPa
103,650,Absolute vorticity,isobaricInhPa
102,700,Absolute vorticity,isobaricInhPa
101,750,Absolute vorticity,isobaricInhPa
100,800,Absolute vorticity,isobaricInhPa
99,850,Absolute vorticity,isobaricInhPa
98,900,Absolute vorticity,isobaricInhPa
97,925,Absolute vorticity,isobaricInhPa
96,950,Absolute vorticity,isobaricInhPa
95,975,Absolute vorticity,isobaricInhPa
94,1000,Absolute vorticity,isobaricInhPa
204,0,Best (4-layer) lifted index,surface
146,100,Cloud mixing ratio,isobaricInhPa
145,150,Cloud mixing ratio,isobaricInhPa
144,200,Cloud mixing ratio,isobaricInhPa
143,250,Cloud mixing ratio,isobaricInhPa
142,300,Cloud mixing ratio,isobaricInhPa
141,350,Cloud mixing ratio,isobaricInhPa
140,400,Cloud mixing ratio,isobaricInhPa
139,450,Cloud mixing ratio,isobaricInhPa
138,500,Cloud mixing ratio,isobaricInhPa
137,550,Cloud mixing ratio,isobaricInhPa
136,600,Cloud mixing ratio,isobaricInhPa
135,650,Cloud mixing ratio,isobaricInhPa
134,700,Cloud mixing ratio,isobaricInhPa
133,750,Cloud mixing ratio,isobaricInhPa
132,800,Cloud mixing ratio,isobaricInhPa
131,850,Cloud mixing ratio,isobaricInhPa
130,900,Cloud mixing ratio,isobaricInhPa
129,925,Cloud mixing ratio,isobaricInhPa
128,950,Cloud mixing ratio,isobaricInhPa
